stat_id,match_id,player_id,minutes_played,goals,assists,shots,passes,tackles,yellow_cards,red_cards
1,1,144,90,2,0,4,60,6,0,0
2,1,153,90,0,0,3,68,4,0,0
3,1,140,90,1,0,4,74,6,0,0
4,1,147,90,0,1,3,30,1,0,0
5,1,160,90,0,1,3,18,5,0,0
6,1,157,90,0,0,4,41,2,0,0
7,1,158,90,0,1,3,58,4,0,0
8,1,146,90,0,0,0,74,6,0,0
9,1,152,90,0,1,4,20,0,0,0
10,1,143,90,0,0,4,52,3,0,0
11,1,148,90,0,0,3,12,1,0,0
12,1,139,43,0,0,3,12,3,0,0
13,1,141,20,0,1,3,42,2,1,0
14,1,159,24,0,0,3,20,6,0,0
15,1,406,90,0,0,4,28,0,0,0
16,1,402,90,1,0,1,32,6,0,0
17,1,400,90,0,1,0,54,5,0,0
18,1,405,90,0,0,3,23,5,1,0
19,1,394,90,0,0,1,68,4,0,0
20,1,398,90,0,0,2,19,2,1,0
21,1,414,90,0,0,1,36,5,0,0
22,1,409,90,0,0,4,10,6,0,0
23,1,408,90,0,1,1,30,4,0,0
24,1,411,90,0,0,2,43,3,0,0
25,1,407,90,0,0,1,67,2,0,0
26,1,403,30,0,0,0,73,5,0,0
27,1,399,40,0,0,4,44,2,0,0
28,1,412,26,0,0,5,49,6,0,0
29,2,21,90,0,0,3,59,3,0,0
30,2,10,90,0,0,2,36,5,0,0
31,2,7,90,0,0,4,46,6,0,0
32,2,5,90,0,0,3,24,5,0,0
33,2,17,90,0,0,5,50,5,1,0
34,2,8,90,0,0,2,55,2,0,0
35,2,2,90,1,0,5,17,3,0,0
36,2,13,90,0,0,2,60,0,0,0
37,2,11,90,0,0,4,66,1,0,0
38,2,6,90,0,0,5,30,2,0,1
39,2,15,90,0,0,1,28,3,0,0
40,2,3,13,0,0,3,62,3,0,0
41,2,1,17,0,0,2,75,1,1,1
42,2,18,20,1,0,2,24,0,0,0
43,2,144,90,0,0,1,59,0,0,0
44,2,141,90,0,1,5,10,4,0,0
45,2,140,90,0,0,0,56,5,0,0
46,2,148,90,0,1,0,21,5,0,0
47,2,158,90,0,1,3,56,0,0,0
48,2,153,90,0,0,5,9,2,0,0
49,2,155,90,0,0,4,25,3,0,0
50,2,149,90,0,0,0,44,0,0,0
51,2,145,90,0,0,2,74,1,0,0
52,2,154,90,0,0,4,71,1,0,0
53,2,160,90,0,0,0,19,0,0,0
54,2,161,14,0,0,4,17,5,0,0
55,2,146,19,0,0,2,41,3,1,0
56,2,150,7,0,0,2,48,3,0,0
57,3,25,90,2,0,3,42,6,0,0
58,3,24,90,0,0,5,29,0,0,0
59,3,28,90,0,0,1,21,3,0,0
60,3,29,90,0,0,3,31,4,0,0
61,3,34,90,0,1,5,24,3,0,0
62,3,35,90,0,0,0,16,2,0,1
63,3,38,90,0,0,4,36,5,0,0
64,3,32,90,0,0,4,20,3,0,0
65,3,40,90,0,0,5,57,1,0,0
66,3,41,90,0,0,0,9,5,0,0
67,3,46,90,0,0,3,29,0,0,0
68,3,43,26,0,0,0,72,1,0,0
69,3,37,20,0,1,3,65,0,0,0
70,3,26,12,0,0,5,10,0,0,0
71,3,248,90,0,0,3,54,5,0,0
72,3,231,90,0,1,2,45,4,0,0
73,3,233,90,1,0,3,25,6,0,0
74,3,250,90,1,0,1,23,6,0,0
75,3,240,90,0,0,5,51,0,0,0
76,3,247,90,0,0,5,23,6,0,0
