score_id,round_id,hole_number,par,strokes,fairway_hit,green_in_regulation,putts
1,1,1,5,6,1,0,1
2,1,2,4,4,1,1,3
3,1,3,3,3,,1,2
4,1,4,5,6,0,0,3
5,1,5,4,5,1,0,2
6,1,6,4,3,1,1,1
7,1,7,4,5,1,0,2
8,1,8,5,5,1,0,2
9,1,9,4,4,1,1,2
10,1,10,4,4,0,1,2
11,1,11,4,5,1,0,2
12,1,12,4,4,1,1,2
13,1,13,4,3,1,1,1
14,1,14,5,6,0,0,1
15,1,15,4,3,1,1,1
16,1,16,3,3,,1,2
17,1,17,4,4,1,1,3
18,1,18,3,3,,1,2
19,2,1,5,6,1,0,1
20,2,2,4,4,1,1,2
21,2,3,3,2,,1,1
22,2,4,5,4,1,1,1
23,2,5,4,4,1,1,2
24,2,6,4,4,1,1,2
25,2,7,4,3,1,1,1
26,2,8,5,5,0,0,2
27,2,9,4,3,1,1,1
28,2,10,4,4,0,1,2
29,2,11,4,4,0,1,2
30,2,12,4,4,0,1,1
31,2,13,4,5,1,0,3
32,2,14,5,4,0,1,1
33,2,15,4,4,1,1,2
34,2,16,3,3,,1,2
35,2,17,4,4,0,1,2
36,2,18,3,3,,1,1
37,3,1,5,6,1,0,2
38,3,2,4,4,1,1,2
39,3,3,3,2,,1,1
40,3,4,5,5,0,0,1
41,3,5,4,3,1,1,1
42,3,6,4,3,1,1,1
43,3,7,4,4,1,1,1
44,3,8,5,4,1,1,1
45,3,9,4,4,1,1,2
46,3,10,4,5,1,0,1
47,3,11,4,3,0,1,1
48,3,12,4,4,1,1,2
49,3,13,4,3,0,1,1
50,3,14,5,5,0,0,2
51,3,15,4,5,0,0,2
52,3,16,3,3,,1,2
53,3,17,4,4,1,1,2
54,3,18,3,3,,1,2
55,4,1,5,5,0,0,3
56,4,2,4,3,0,1,1
57,4,3,3,3,,1,2
58,4,4,5,4,1,1,1
59,4,5,4,4,1,1,2
60,4,6,4,4,1,1,2
61,4,7,4,4,0,1,1
62,4,8,5,6,0,0,2
63,4,9,4,4,1,1,2
64,4,10,4,4,1,1,3
65,4,11,4,4,1,1,2
66,4,12,4,4,1,1,2
67,4,13,4,4,0,1,1
68,4,14,5,5,0,0,2
69,4,15,4,4,0,1,1
70,4,16,3,3,,1,2
71,4,17,4,4,1,1,2
72,4,18,3,3,,1,1
73,5,1,5,4,1,1,1
74,5,2,4,4,1,1,3
75,5,3,3,3,,1,2
76,5,4,5,6,1,0,2
77,5,5,4,4,1,1,3
78,5,6,4,4,1,1,2
79,5,7,4,4,1,1,1
80,5,8,5,5,1,0,1
81,5,9,4,4,1,1,3
82,5,10,4,5,1,0,2
83,5,11,4,5,1,0,2
84,5,12,4,4,0,1,2
85,5,13,4,4,1,1,2
86,5,14,5,6,1,0,2
87,5,15,4,3,0,1,1
88,5,16,3,4,,0,1
89,5,17,4,5,0,0,3
90,5,18,3,2,,1,1
91,6,1,5,6,1,0,2
92,6,2,4,4,1,1,1
93,6,3,3,2,,1,1
94,6,4,5,5,1,0,2
95,6,5,4,4,1,1,2
96,6,6,4,6,1,0,2
97,6,7,4,3,0,1,1
98,6,8,5,4,0,1,1
99,6,9,4,5,1,0,1
100,6,10,4,3,1,1,1
101,6,11,4,4,0,1,1
102,6,12,4,5,1,0,1
103,6,13,4,5,1,0,2
104,6,14,5,6,0,0,3
105,6,15,4,4,0,1,2
106,6,16,3,3,,1,3
107,6,17,4,3,0,1,1
108,6,18,3,4,,0,2
109,7,1,5,6,0,0,3
110,7,2,4,3,0,1,1
111,7,3,3,3,,1,2
112,7,4,5,5,0,0,3
